Timestamp,Elapsed_Time_s,Target_Temp_C,Sensor_Temp_1_C,Sensor_Temp_2_C,Current_Step
2025-12-08 10:43:47,1,21.79,22.8,20.26,1
2025-12-08 10:43:53,6,21.79,22.86,20.15,1
2025-12-08 10:43:58,11,21.79,22.86,20.1,1
2025-12-08 10:44:03,17,21.79,22.65,20.1,1
2025-12-08 10:44:09,22,20.79,22.55,20.11,1
2025-12-08 10:44:15,28,20.79,22.62,20.13,1
2025-12-08 10:44:20,33,20.79,22.76,20.12,1
2025-12-08 10:44:25,39,20.79,22.93,20.06,1
2025-12-08 10:44:31,44,20.0,23.02,20.0,1
2025-12-08 10:44:36,50,20.0,23.08,19.92,1
2025-12-08 10:44:42,55,20.0,23.13,19.82,1
2025-12-08 10:44:47,60,20.0,23.16,19.7,1
2025-12-08 10:44:53,66,15.0,23.22,19.56,1
2025-12-08 10:44:55,69,15.0,23.22,19.51,1
2025-12-08 10:44:58,71,15.0,23.34,19.45,1
2025-12-08 10:45:00,73,15.0,23.42,19.37,1
2025-12-08 10:45:02,75,15.0,23.37,19.26,1
2025-12-08 10:45:04,78,15.0,23.27,19.11,1
2025-12-08 10:45:07,80,15.0,23.28,18.95,1
2025-12-08 10:45:09,82,15.0,23.3,18.77,1
2025-12-08 10:45:11,84,15.0,23.27,18.6,1
2025-12-08 10:45:13,87,15.0,23.2,18.43,1
2025-12-08 10:45:16,89,15.0,23.21,18.26,1
2025-12-08 10:45:18,91,15.0,23.23,18.1,1
2025-12-08 10:45:20,93,15.0,23.26,17.94,1
2025-12-08 10:45:22,96,15.0,23.31,17.78,1
2025-12-08 10:45:25,98,15.0,23.35,17.63,1
2025-12-08 10:45:27,100,15.0,23.3,17.48,1
2025-12-08 10:45:29,102,15.0,23.16,17.33,1
2025-12-08 10:45:31,105,15.0,23.18,17.19,1
2025-12-08 10:45:34,107,15.0,23.26,17.05,1
2025-12-08 10:45:36,109,15.0,23.34,16.91,1
2025-12-08 10:45:38,111,15.0,23.28,16.78,1
2025-12-08 10:45:40,114,15.0,23.23,16.65,1
2025-12-08 10:45:43,116,15.0,23.18,16.53,1
2025-12-08 10:45:45,118,15.0,23.24,16.4,1
2025-12-08 10:45:47,120,15.0,23.28,16.28,1
2025-12-08 10:45:49,123,15.0,23.28,16.16,1
2025-12-08 10:45:52,125,15.0,23.27,16.04,1
2025-12-08 10:45:54,127,15.0,23.27,15.93,1
2025-12-08 10:45:56,129,15.0,23.28,15.82,1
2025-12-08 10:45:58,132,15.0,23.25,15.7,1
2025-12-08 10:46:01,134,15.0,23.28,15.59,1
2025-12-08 10:46:03,136,15.0,23.33,15.48,1
2025-12-08 10:46:05,138,15.0,23.41,15.37,1
2025-12-08 10:46:07,141,15.0,23.44,15.26,1
2025-12-08 10:46:10,143,15.0,23.28,15.16,1
2025-12-08 10:46:12,145,15.0,23.38,15.05,1
2025-12-08 10:46:14,147,15.0,23.44,14.94,1
2025-12-08 10:46:16,150,15.0,23.45,14.84,1
2025-12-08 10:46:18,152,15.0,23.54,14.74,1
2025-12-08 10:46:21,154,15.0,23.5,14.64,1
2025-12-08 10:46:23,156,15.0,23.43,14.54,1
2025-12-08 10:46:25,158,15.0,23.57,14.44,1
2025-12-08 10:46:27,161,15.0,23.55,14.34,1
2025-12-08 10:46:30,163,15.0,23.51,14.25,1
2025-12-08 10:46:32,165,15.0,23.52,14.15,1
2025-12-08 10:46:34,167,15.0,23.43,14.05,1
2025-12-08 10:46:36,170,15.0,23.3,13.95,1
2025-12-08 10:46:39,172,15.0,23.24,13.86,1
2025-12-08 10:46:41,174,15.0,23.2,13.76,1
2025-12-08 10:46:43,176,15.0,23.21,13.67,1
2025-12-08 10:46:45,179,15.0,23.27,13.58,1
2025-12-08 10:46:48,181,15.0,23.33,13.49,1
2025-12-08 10:46:50,183,15.0,23.45,13.4,1
2025-12-08 10:46:52,185,15.0,23.59,13.32,1
2025-12-08 10:46:54,188,15.0,23.59,13.23,1
2025-12-08 10:46:57,190,15.0,23.47,13.15,1
2025-12-08 10:46:59,192,15.0,23.45,13.06,1
2025-12-08 10:47:01,194,15.0,23.53,12.97,1
2025-12-08 10:47:03,197,15.0,23.54,12.88,1
2025-12-08 10:47:06,199,15.0,23.48,12.8,1
2025-12-08 10:47:08,201,15.0,23.52,12.71,1
2025-12-08 10:47:10,204,15.0,23.45,12.62,1
2025-12-08 10:47:13,206,15.0,23.45,12.53,1
2025-12-08 10:47:15,208,15.0,23.39,12.45,1
2025-12-08 10:47:17,210,15.0,23.28,12.37,1
2025-12-08 10:47:19,212,15.0,23.28,12.29,1
2025-12-08 10:47:21,215,15.0,23.33,12.2,1
2025-12-08 10:47:24,217,15.0,23.32,12.12,1
2025-12-08 10:47:26,219,15.0,23.27,12.04,1
2025-12-08 10:47:28,222,15.0,23.22,11.97,1
2025-12-08 10:47:31,224,15.0,23.2,11.89,1
2025-12-08 10:47:33,226,15.0,23.37,11.82,1
2025-12-08 10:47:35,228,15.0,23.53,11.75,1
2025-12-08 10:47:37,231,15.0,23.55,11.68,1
2025-12-08 10:47:39,233,15.0,23.53,11.6,1
2025-12-08 10:47:42,235,15.0,23.57,11.53,1
2025-12-08 10:47:44,237,15.0,23.62,11.46,1
2025-12-08 10:47:46,239,15.0,23.7,11.38,1
2025-12-08 10:47:48,242,15.0,23.74,11.3,1
2025-12-08 10:47:51,244,15.0,23.75,11.23,1
2025-12-08 10:47:53,246,15.0,23.65,11.15,1
