Timestamp,Elapsed_Time_s,Target_Temp_C,Sensor_Temp_1_C,Sensor_Temp_2_C,Current_Step
2025-12-07 14:44:23,1,10.0,20.21,19.29,1
2025-12-07 14:44:28,6,10.0,20.14,19.28,1
2025-12-07 14:44:33,11,10.0,19.98,18.72,1
2025-12-07 14:44:39,17,10.0,19.75,17.71,1
2025-12-07 14:44:44,22,10.0,19.49,16.65,1
2025-12-07 14:44:50,27,10.0,19.21,15.65,1
2025-12-07 14:44:55,33,10.0,18.92,14.74,1
2025-12-07 14:45:01,38,10.0,18.62,13.92,1
2025-12-07 14:45:06,44,10.0,18.3,13.15,1
2025-12-07 14:45:11,49,10.0,17.97,12.42,1
2025-12-07 14:45:17,54,10.0,17.63,11.72,1
2025-12-07 14:45:22,60,10.0,17.29,11.08,1
2025-12-07 14:45:27,65,10.0,16.94,10.44,1
2025-12-07 14:45:33,71,10.0,16.58,9.84,1
2025-12-07 14:45:38,76,10.0,16.21,9.25,1
2025-12-07 14:45:44,81,10.0,15.83,8.7,1
2025-12-07 14:45:49,87,10.0,15.48,8.16,1
2025-12-07 14:45:54,92,10.0,15.1,7.66,1
2025-12-07 14:46:00,98,10.0,14.76,7.23,1
2025-12-07 14:46:05,103,10.0,14.39,6.88,1
2025-12-07 14:46:10,108,10.0,14.03,6.6,1
2025-12-07 14:46:16,114,10.0,13.67,6.38,1
2025-12-07 14:46:21,119,10.0,13.33,6.22,1
2025-12-07 14:46:27,124,10.0,13.01,6.11,1
2025-12-07 14:46:32,130,10.0,12.7,6.05,1
2025-12-07 14:46:37,135,10.0,12.41,6.04,1
2025-12-07 14:46:43,141,10.0,12.13,6.06,1
2025-12-07 14:46:48,146,10.0,11.87,6.13,1
2025-12-07 14:46:54,151,10.0,11.63,6.23,1
2025-12-07 14:46:59,157,10.0,11.41,6.35,1
2025-12-07 14:47:04,162,10.0,11.21,6.5,1
2025-12-07 14:47:10,167,10.0,11.03,6.67,1
2025-12-07 14:47:15,173,10.0,10.87,6.86,1
2025-12-07 14:47:20,178,10.0,10.73,7.07,1
2025-12-07 14:47:26,184,10.0,10.6,7.28,1
2025-12-07 14:47:31,189,10.0,10.49,7.51,1
2025-12-07 14:47:36,194,10.0,10.39,7.74,1
2025-12-07 14:47:42,200,10.0,10.31,7.97,1
2025-12-07 14:47:47,205,10.0,10.25,8.21,1
2025-12-07 14:47:53,210,10.0,10.2,8.44,1
2025-12-07 14:47:58,216,10.0,10.16,8.67,1
2025-12-07 14:48:03,221,10.0,10.13,8.9,1
2025-12-07 14:48:09,227,10.0,10.12,9.12,1
2025-12-07 14:48:14,232,10.0,10.11,9.34,1
2025-12-07 14:48:20,237,10.0,10.12,9.54,1
2025-12-07 14:48:25,243,10.0,10.13,9.73,1
2025-12-07 14:48:30,248,10.0,10.15,9.91,1
2025-12-07 14:48:36,254,10.0,10.17,10.08,1
2025-12-07 14:48:41,259,10.0,10.2,10.24,1
2025-12-07 14:48:46,264,10.0,10.24,10.39,1
2025-12-07 14:48:52,270,10.0,10.27,10.53,1
2025-12-07 14:48:57,275,10.0,10.31,10.66,1
2025-12-07 14:49:02,280,10.0,10.35,10.77,1
2025-12-07 14:49:08,286,10.0,10.4,10.88,1
2025-12-07 14:49:13,291,10.0,10.45,10.97,1
2025-12-07 14:49:19,296,10.0,10.49,11.05,1
2025-12-07 14:49:24,302,10.0,10.53,11.12,1
2025-12-07 14:49:29,307,10.0,10.58,11.17,1
2025-12-07 14:49:35,312,10.0,10.61,11.22,1
2025-12-07 14:49:40,318,10.0,10.66,11.27,1
2025-12-07 14:49:45,323,10.0,10.7,11.31,1
2025-12-07 14:49:51,329,10.0,10.73,11.33,1
2025-12-07 14:49:56,334,10.0,10.77,11.36,1
2025-12-07 14:50:02,339,10.0,10.81,11.38,1
2025-12-07 14:50:07,345,10.0,10.84,11.39,1
2025-12-07 14:50:12,350,10.0,10.87,11.39,1
2025-12-07 14:50:18,355,10.0,10.9,11.39,1
2025-12-07 14:50:23,361,10.0,10.93,11.39,1
2025-12-07 14:50:28,366,10.0,10.95,11.39,1
2025-12-07 14:50:34,372,10.0,10.97,11.38,1
2025-12-07 14:50:39,377,10.0,10.99,11.37,1
2025-12-07 14:50:44,382,10.0,11.0,11.36,1
2025-12-07 14:50:50,388,10.0,11.01,11.35,1
2025-12-07 14:50:55,393,10.0,11.02,11.34,1
2025-12-07 14:51:01,398,10.0,11.04,11.32,1
2025-12-07 14:51:06,404,10.0,11.04,11.31,1
2025-12-07 14:51:11,409,10.0,11.05,11.3,1
2025-12-07 14:51:17,415,10.0,11.06,11.29,1
2025-12-07 14:51:22,420,10.0,11.07,11.27,1
2025-12-07 14:51:27,425,10.0,11.07,11.26,1
2025-12-07 14:51:33,431,10.0,11.07,11.25,1
2025-12-07 14:51:38,436,10.0,11.07,11.23,1
2025-12-07 14:51:44,441,10.0,11.08,11.22,1
2025-12-07 14:51:49,447,10.0,11.08,11.21,1
2025-12-07 14:51:54,452,10.0,11.08,11.2,1
2025-12-07 14:52:00,458,10.0,11.09,11.19,1
2025-12-07 14:52:05,463,10.0,11.09,11.18,1
2025-12-07 14:52:11,468,10.0,11.08,11.17,1
2025-12-07 14:52:16,474,10.0,11.08,11.16,1
2025-12-07 14:52:22,479,10.0,11.08,11.15,1
2025-12-07 14:52:27,485,10.0,11.08,11.15,1
2025-12-07 14:52:32,490,10.0,11.08,11.14,1
2025-12-07 14:52:38,496,10.0,11.08,11.14,1
2025-12-07 14:52:43,501,10.0,11.08,11.13,1
2025-12-07 14:52:49,506,10.0,11.08,11.13,1
2025-12-07 14:52:54,512,10.0,11.08,11.12,1
2025-12-07 14:52:59,517,10.0,11.08,11.12,1
2025-12-07 14:53:05,522,10.0,11.08,11.11,1
2025-12-07 14:53:10,528,10.0,11.07,11.11,1
2025-12-07 14:53:15,533,10.0,11.07,11.1,1
