Timestamp,Elapsed_Time_s,Target_Temp_C,Sensor_Temp_1_C,Sensor_Temp_2_C,Current_Step,Note
2025-12-07 15:04:47,1,15.0,20.07,23.55,1,Ramping_or_Soaking
2025-12-07 15:04:52,6,15.0,20.13,23.41,1,Ramping_or_Soaking
2025-12-07 15:04:58,11,15.0,20.09,22.76,1,Ramping_or_Soaking
2025-12-07 15:05:03,17,15.0,19.96,21.72,1,Ramping_or_Soaking
2025-12-07 15:05:09,22,15.0,19.91,20.62,1,Ramping_or_Soaking
2025-12-07 15:05:14,28,15.0,19.85,19.62,1,Ramping_or_Soaking
2025-12-07 15:05:20,33,15.0,19.64,18.73,1,Ramping_or_Soaking
2025-12-07 15:05:25,38,15.0,19.43,17.94,1,Ramping_or_Soaking
2025-12-07 15:05:30,44,15.0,19.23,17.24,1,Ramping_or_Soaking
2025-12-07 15:05:36,49,15.0,19.02,16.62,1,Ramping_or_Soaking
2025-12-07 15:05:41,55,15.0,18.8,16.08,1,Ramping_or_Soaking
2025-12-07 15:05:46,60,15.0,18.58,15.61,1,Ramping_or_Soaking
2025-12-07 15:05:52,65,15.0,18.35,15.19,1,Ramping_or_Soaking
2025-12-07 15:05:57,71,15.0,18.14,14.84,1,Ramping_or_Soaking
2025-12-07 15:06:03,76,15.0,17.94,14.53,1,Ramping_or_Soaking
2025-12-07 15:06:08,81,15.0,17.75,14.27,1,Ramping_or_Soaking
2025-12-07 15:06:13,87,15.0,17.57,14.06,1,Ramping_or_Soaking
2025-12-07 15:06:19,92,15.0,17.38,13.87,1,Ramping_or_Soaking
2025-12-07 15:06:24,98,15.0,17.21,13.71,1,Ramping_or_Soaking
2025-12-07 15:06:30,103,15.0,17.04,13.58,1,Ramping_or_Soaking
2025-12-07 15:06:35,108,15.0,16.86,13.48,1,Ramping_or_Soaking
2025-12-07 15:06:40,114,15.0,16.7,13.41,1,Ramping_or_Soaking
2025-12-07 15:06:46,119,15.0,16.55,13.36,1,Ramping_or_Soaking
2025-12-07 15:06:51,125,15.0,16.4,13.34,1,Ramping_or_Soaking
2025-12-07 15:06:56,130,15.0,16.26,13.34,1,Ramping_or_Soaking
2025-12-07 15:07:02,135,15.0,16.13,13.35,1,Ramping_or_Soaking
2025-12-07 15:07:07,141,15.0,16.01,13.39,1,Ramping_or_Soaking
2025-12-07 15:07:13,146,15.0,15.89,13.44,1,Ramping_or_Soaking
2025-12-07 15:07:18,152,15.0,15.79,13.5,1,Ramping_or_Soaking
2025-12-07 15:07:24,157,15.0,15.7,13.59,1,Ramping_or_Soaking
2025-12-07 15:07:29,162,15.0,15.61,13.67,1,Ramping_or_Soaking
