Point_Index,Sweep_Timestamp,Temperature_C,Frequency_Hz,Real_S11,Imag_S11
1,2025-11-17 18:44:21,2.49,50000000.0,0.999585270882,-0.0346944332123
2,2025-11-17 18:44:21,2.49,51664888.2713,0.999528408051,-0.035858169198
3,2025-11-17 18:44:21,2.49,53385213.6017,0.999460875988,-0.0370458364487
4,2025-11-17 18:44:21,2.49,55162821.9215,0.999423265457,-0.0382526256144
5,2025-11-17 18:44:21,2.49,56999620.626,0.99936413765,-0.0395453609526
6,2025-11-17 18:44:21,2.49,58897580.623,0.999288737774,-0.0408440381289
7,2025-11-17 18:44:21,2.49,60858738.4468,0.99921143055,-0.0422086566687
8,2025-11-17 18:44:21,2.49,62885198.4437,0.999133348465,-0.0436027646065
9,2025-11-17 18:44:21,2.49,64979135.0303,0.99906462431,-0.0450584292412
10,2025-11-17 18:44:21,2.49,67142795.0261,0.998995184898,-0.0465511381626
11,2025-11-17 18:44:21,2.49,69378500.0649,0.998886585236,-0.0480810403824
12,2025-11-17 18:44:21,2.49,71688649.0857,0.998832941055,-0.0496779084206
13,2025-11-17 18:44:21,2.49,74075720.9067,0.998722672462,-0.0513691008091
14,2025-11-17 18:44:21,2.49,76542276.8852,0.998591542244,-0.0530579984188
15,2025-11-17 18:44:21,2.49,79090963.6661,0.998460650444,-0.0548503994942
16,2025-11-17 18:44:21,2.49,81724516.0216,0.998328566551,-0.0566699206829
17,2025-11-17 18:44:21,2.49,84445759.7856,0.998241901398,-0.0585485622287
18,2025-11-17 18:44:21,2.49,87257614.8862,0.998080193996,-0.0604872703552
19,2025-11-17 18:44:21,2.49,90163098.4783,0.99792277813,-0.0624827742577
20,2025-11-17 18:44:21,2.49,93165328.1815,0.997789621353,-0.064576625824
21,2025-11-17 18:44:21,2.49,96267525.4252,0.997586011887,-0.0667286515236
22,2025-11-17 18:44:21,2.49,99473018.9049,0.997445702553,-0.0689330399036
23,2025-11-17 18:44:21,2.49,102785248.155,0.997226893902,-0.0712335109711
24,2025-11-17 18:44:21,2.49,106207767.237,0.99703681469,-0.0735836923122
25,2025-11-17 18:44:21,2.49,109744248.557,0.996818602085,-0.0760785192251
26,2025-11-17 18:44:21,2.49,113398486.802,0.996582150459,-0.0785594284534
27,2025-11-17 18:44:21,2.49,117174403.015,0.996308803558,-0.0811678767204
28,2025-11-17 18:44:21,2.49,121076048.801,0.996032714844,-0.0838941633701
29,2025-11-17 18:44:21,2.49,125107610.673,0.99577498436,-0.0866791307926
30,2025-11-17 18:44:21,2.49,129273414.546,0.995454788208,-0.0895412266254
31,2025-11-17 18:44:21,2.49,133577930.379,0.995114862919,-0.092515707016
32,2025-11-17 18:44:21,2.49,138025776.971,0.994763493538,-0.0955815166235
33,2025-11-17 18:44:21,2.49,142621726.915,0.994430243969,-0.0987368673086
34,2025-11-17 18:44:21,2.49,147370711.723,0.994017124176,-0.102019712329
35,2025-11-17 18:44:21,2.49,152277827.113,0.993614077568,-0.10537776351
36,2025-11-17 18:44:21,2.49,157348338.479,0.993168711662,-0.108877301216
37,2025-11-17 18:44:21,2.49,162587686.544,0.992669701576,-0.112453639507
38,2025-11-17 18:44:21,2.49,168001493.192,0.992159724236,-0.116155706346
39,2025-11-17 18:44:21,2.49,173595567.504,0.991625666618,-0.119967289269
40,2025-11-17 18:44:21,2.49,179375911.989,0.991009235382,-0.123941361904
41,2025-11-17 18:44:21,2.49,185348729.03,0.990397930145,-0.128007143736
42,2025-11-17 18:44:21,2.49,191520427.531,0.989673256874,-0.132240742445
43,2025-11-17 18:44:21,2.49,197897629.801,0.989010453224,-0.136542379856
