Point_Index,Sweep_Timestamp,Temperature_C,Frequency_Hz,Real_S11,Imag_S11
1,2025-11-17 18:42:21,6.58,50000000.0,0.999604403973,-0.0344743430614
2,2025-11-17 18:42:21,6.58,51664888.2713,0.999522864819,-0.0356523841619
3,2025-11-17 18:42:21,6.58,53385213.6017,0.999471664429,-0.0368293225765
4,2025-11-17 18:42:21,6.58,55162821.9215,0.999425172806,-0.0380327031016
5,2025-11-17 18:42:21,6.58,56999620.626,0.999370336533,-0.0393224880099
6,2025-11-17 18:42:21,6.58,58897580.623,0.999285578728,-0.0405944511294
7,2025-11-17 18:42:21,6.58,60858738.4468,0.999213159084,-0.0419573783875
8,2025-11-17 18:42:21,6.58,62885198.4437,0.999163508415,-0.043346196413
9,2025-11-17 18:42:21,6.58,64979135.0303,0.999086737633,-0.0447920560837
10,2025-11-17 18:42:21,6.58,67142795.0261,0.998991131783,-0.0462806522846
11,2025-11-17 18:42:21,6.58,69378500.0649,0.998917579651,-0.0478183031082
12,2025-11-17 18:42:21,6.58,71688649.0857,0.998842716217,-0.0494097173214
13,2025-11-17 18:42:21,6.58,74075720.9067,0.998743832111,-0.0510643720627
14,2025-11-17 18:42:21,6.58,76542276.8852,0.998617649078,-0.0527482330799
15,2025-11-17 18:42:21,6.58,79090963.6661,0.998487353325,-0.0545347034931
16,2025-11-17 18:42:21,6.58,81724516.0216,0.998379468918,-0.0563013255596
17,2025-11-17 18:42:21,6.58,84445759.7856,0.998277187347,-0.0582157075405
18,2025-11-17 18:42:21,6.58,87257614.8862,0.998129367828,-0.0601438954473
19,2025-11-17 18:42:21,6.58,90163098.4783,0.99798977375,-0.0621112585068
20,2025-11-17 18:42:21,6.58,93165328.1815,0.997857689857,-0.064191609621
21,2025-11-17 18:42:21,6.58,96267525.4252,0.997661292553,-0.0663168132305
22,2025-11-17 18:42:21,6.58,99473018.9049,0.997517645359,-0.0685093104839
23,2025-11-17 18:42:21,6.58,102785248.155,0.997313141823,-0.070808917284
24,2025-11-17 18:42:21,6.58,106207767.237,0.997085809708,-0.0731445252895
25,2025-11-17 18:42:21,6.58,109744248.557,0.996911883354,-0.0756047964096
26,2025-11-17 18:42:21,6.58,113398486.802,0.996660351753,-0.0780834257603
27,2025-11-17 18:42:21,6.58,117174403.015,0.996382534504,-0.0807101130486
28,2025-11-17 18:42:21,6.58,121076048.801,0.996157050133,-0.0833820104599
29,2025-11-17 18:42:21,6.58,125107610.673,0.995859384537,-0.086160838604
30,2025-11-17 18:42:21,6.58,129273414.546,0.995563685894,-0.0890145599842
31,2025-11-17 18:42:21,6.58,133577930.379,0.995239496231,-0.0919398963451
32,2025-11-17 18:42:21,6.58,138025776.971,0.994852781296,-0.0949861705303
33,2025-11-17 18:42:21,6.58,142621726.915,0.994552910328,-0.0981550514698
34,2025-11-17 18:42:21,6.58,147370711.723,0.994136452675,-0.101402774453
35,2025-11-17 18:42:21,6.58,152277827.113,0.993740558624,-0.104741960764
36,2025-11-17 18:42:21,6.58,157348338.479,0.993286728859,-0.108215302229
37,2025-11-17 18:42:21,6.58,162587686.544,0.992797136307,-0.111798286438
38,2025-11-17 18:42:21,6.58,168001493.192,0.992285907269,-0.115491263568
39,2025-11-17 18:42:21,6.58,173595567.504,0.991773664951,-0.119275398552
40,2025-11-17 18:42:21,6.58,179375911.989,0.991178333759,-0.123207509518
41,2025-11-17 18:42:21,6.58,185348729.03,0.990569472313,-0.127272635698
42,2025-11-17 18:42:21,6.58,191520427.531,0.989852547646,-0.131480395794
43,2025-11-17 18:42:21,6.58,197897629.801,0.989185273647,-0.135771095753
44,2025-11-17 18:42:21,6.58,204487178.657,0.988441765308,-0.140250325203
45,2025-11-17 18:42:21,6.58,211296144.764,0.987657427788,-0.144842684269
46,2025-11-17 18:42:21,6.58,218331834.228,0.986798763275,-0.149624615908
47,2025-11-17 18:42:21,6.58,225601796.429,0.985887050629,-0.154502570629
48,2025-11-17 18:42:21,6.58,233113832.127,0.98492193222,-0.159587353468
49,2025-11-17 18:42:21,6.58,240876001.826,0.983894824982,-0.164766639471
50,2025-11-17 18:42:21,6.58,248896634.432,0.982813239098,-0.170187592506
51,2025-11-17 18:42:21,6.58,257184336.181,0.98165088892,-0.175715342164
52,2025-11-17 18:42:21,6.58,265747999.878,0.980389535427,-0.181421160698
53,2025-11-17 18:42:21,6.58,274596814.44,0.979075551033,-0.187322735786
54,2025-11-17 18:42:21,6.58,283740274.754,0.977617621422,-0.193389415741
55,2025-11-17 18:42:21,6.58,293188191.865,0.976112902164,-0.199656814337
56,2025-11-17 18:42:21,6.58,302950703.503,0.974512338638,-0.206115961075
57,2025-11-17 18:42:21,6.58,313038284.964,0.972770810127,-0.212780505419
58,2025-11-17 18:42:21,6.58,323461760.347,0.970979571342,-0.219670683146
59,2025-11-17 18:42:21,6.58,334232314.167,0.968976080418,-0.226698204875
60,2025-11-17 18:42:21,6.58,345361503.362,0.966912329197,-0.23397898674
61,2025-11-17 18:42:21,6.58,356861269.688,0.9646910429,-0.241480201483
62,2025-11-17 18:42:21,6.58,368743952.536,0.96233445406,-0.249155342579
63,2025-11-17 18:42:21,6.58,381022302.17,0.959791183472,-0.257061690092
64,2025-11-17 18:42:21,6.58,393709493.409,0.957129716873,-0.265202701092
65,2025-11-17 18:42:21,6.58,406819139.767,0.954271376133,-0.273544639349
66,2025-11-17 18:42:21,6.58,420365308.054,0.951244831085,-0.28216791153
67,2025-11-17 18:42:21,6.58,434362533.475,0.948040246964,-0.291043430567
68,2025-11-17 18:42:21,6.58,448825835.224,0.944574475288,-0.3001486063
69,2025-11-17 18:42:21,6.58,463770732.603,0.940882325172,-0.3094817698
70,2025-11-17 18:42:21,6.58,479213261.668,0.937027931213,-0.319033712149
71,2025-11-17 18:42:21,6.58,495169992.444,0.932883381844,-0.328847378492
72,2025-11-17 18:42:21,6.58,511658046.699,0.928500711918,-0.338879525661
73,2025-11-17 18:42:21,6.58,528695116.316,0.923816800117,-0.349171608686
74,2025-11-17 18:42:21,6.58,546299482.281,0.918841302395,-0.359747946262
75,2025-11-17 18:42:21,6.58,564490034.295,0.913572430611,-0.370582550764
76,2025-11-17 18:42:21,6.58,583286291.042,0.907977223396,-0.381663322449
77,2025-11-17 18:42:21,6.58,602708421.137,0.902092456818,-0.39297375083
78,2025-11-17 18:42:21,6.58,622777264.765,0.895810246468,-0.404477000237
79,2025-11-17 18:42:21,6.58,643514356.04,0.889119565487,-0.416246414185
80,2025-11-17 18:42:21,6.58,664941946.115,0.881995439529,-0.428281635046
81,2025-11-17 18:42:21,6.58,687083027.059,0.874551534653,-0.440559953451
82,2025-11-17 18:42:21,6.58,709961356.522,0.866588890553,-0.453034847975
83,2025-11-17 18:42:21,6.58,733601483.233,0.858163714409,-0.465749084949
84,2025-11-17 18:42:21,6.58,758028773.338,0.849174976349,-0.478583425283
85,2025-11-17 18:42:21,6.58,783269437.619,0.839554667473,-0.4915343225
86,2025-11-17 18:42:21,6.58,809350559.618,0.829376220703,-0.504283607006
87,2025-11-17 18:42:21,6.58,836300124.7,0.819415390491,-0.516952633858
88,2025-11-17 18:42:21,6.58,864147050.078,0.809032142162,-0.530448138714
89,2025-11-17 18:42:21,6.58,892921215.845,0.797737121582,-0.544321477413
90,2025-11-17 18:42:21,6.58,922653497.035,0.785711050034,-0.558175384998
91,2025-11-17 18:42:21,6.58,953375796.748,0.773011088371,-0.572047591209
92,2025-11-17 18:42:21,6.58,985121080.392,0.759581327438,-0.585942625999
93,2025-11-17 18:42:21,6.58,1017923411.04,0.74551320076,-0.599854767323
94,2025-11-17 18:42:21,6.58,1051817986.01,0.730758845806,-0.613737046719
95,2025-11-17 18:42:21,6.58,1086841174.57,0.715370714664,-0.627527475357
96,2025-11-17 18:42:21,6.58,1123030557.06,0.699230611324,-0.641322135925
97,2025-11-17 18:42:21,6.58,1160424965.12,0.682169020176,-0.655069768429
98,2025-11-17 18:42:21,6.58,1199064523.4,0.664267301559,-0.668369054794
99,2025-11-17 18:42:21,6.58,1238990692.63,0.645728588104,-0.681490898132
100,2025-11-17 18:42:21,6.58,1280246314.08,0.626387655735,-0.694357037544
101,2025-11-17 18:42:21,6.58,1322875655.53,0.606191635132,-0.706730723381
102,2025-11-17 18:42:21,6.58,1366924458.8,0.58521348238,-0.718399643898
103,2025-11-17 18:42:21,6.58,1412439988.78,0.563752710819,-0.729185521603
104,2025-11-17 18:42:21,6.58,1459471084.21,0.542735099792,-0.739667832851
105,2025-11-17 18:42:21,6.58,1508068210.02,0.520814597607,-0.750560164452
106,2025-11-17 18:42:21,6.58,1558283511.52,0.497741401196,-0.760836005211
107,2025-11-17 18:42:21,6.58,1610170870.35,0.473921835423,-0.770026981831
108,2025-11-17 18:42:21,6.58,1663785962.29,0.450594186783,-0.778154969215
109,2025-11-17 18:42:21,6.58,1719186316.98,0.428082585335,-0.786868870258
110,2025-11-17 18:42:21,6.58,1776431379.69,0.40459343791,-0.797455132008
111,2025-11-17 18:42:21,6.58,1835582575.06,0.377557694912,-0.80868935585
112,2025-11-17 18:42:21,6.58,1896703373.07,0.346668481827,-0.817642092705
113,2025-11-17 18:42:21,6.58,1959859357.07,0.314930766821,-0.821204304695
114,2025-11-17 18:42:21,6.58,2025118294.21,0.286048531532,-0.821917831898
115,2025-11-17 18:42:21,6.58,2092550208.13,0.259788781404,-0.823293447495
116,2025-11-17 18:42:21,6.58,2162227454.1,0.233551874757,-0.825860321522
117,2025-11-17 18:42:21,6.58,2234224796.67,0.206163942814,-0.829685330391
118,2025-11-17 18:42:21,6.58,2308619489.86,0.174859747291,-0.833734929562
119,2025-11-17 18:42:21,6.58,2385491360.09,0.14026388526,-0.831862211227
120,2025-11-17 18:42:21,6.58,2464922891.82,0.109528511763,-0.825269818306
121,2025-11-17 18:42:21,6.58,2546999316.07,0.0819464921951,-0.818814277649
122,2025-11-17 18:42:21,6.58,2631808701.83,0.055229306221,-0.812821865082
123,2025-11-17 18:42:21,6.58,2719442050.63,0.0290442109108,-0.806609153748
124,2025-11-17 18:42:21,6.58,2809993394.13,0.00341069698334,-0.800448954105
125,2025-11-17 18:42:21,6.58,2903559895.01,-0.0223953165114,-0.794629096985
126,2025-11-17 18:42:21,6.58,3000241951.3,-0.0491498112679,-0.788350045681
127,2025-11-17 18:42:21,6.58,3100143304.01,-0.0764851123095,-0.780610263348
128,2025-11-17 18:42:21,6.58,3203371148.54,-0.103297322989,-0.771133542061
129,2025-11-17 18:42:21,6.58,3310036249.61,-0.129619657993,-0.760813951492
130,2025-11-17 18:42:21,6.58,3420253060.2,-0.155529111624,-0.74905693531
131,2025-11-17 18:42:21,6.58,3534139844.3,-0.180247098207,-0.736003160477
132,2025-11-17 18:42:21,6.58,3651818803.82,-0.203639686108,-0.722500741482
133,2025-11-17 18:42:21,6.58,3773416209.73,-0.22643725574,-0.708751618862
134,2025-11-17 18:42:21,6.58,3899062537.53,-0.248700976372,-0.694310188293
135,2025-11-17 18:42:21,6.58,4028892607.29,-0.270181834698,-0.679398655891
136,2025-11-17 18:42:21,6.58,4163045728.26,-0.291262537241,-0.663787186146
137,2025-11-17 18:42:21,6.58,4301665848.37,-0.311703979969,-0.646959006786
138,2025-11-17 18:42:21,6.58,4444901708.73,-0.330235183239,-0.629141926765
139,2025-11-17 18:42:21,6.58,4592907003.17,-0.346980988979,-0.611559033394
140,2025-11-17 18:42:21,6.58,4745840543.19,-0.362929493189,-0.594390690327
141,2025-11-17 18:42:21,6.58,4903866428.35,-0.378316938877,-0.577273845673
142,2025-11-17 18:42:21,6.58,5067154222.36,-0.392919182777,-0.559998214245
143,2025-11-17 18:42:21,6.58,5235879135.03,-0.406628072262,-0.542578577995
144,2025-11-17 18:42:21,6.58,5410222210.27,-0.419588297606,-0.525468289852
145,2025-11-17 18:42:21,6.58,5590370520.33,-0.432008236647,-0.508294820786
146,2025-11-17 18:42:21,6.58,5776517366.56,-0.443852841854,-0.490957736969
147,2025-11-17 18:42:21,6.58,5968862486.81,-0.454874992371,-0.47334843874
148,2025-11-17 18:42:21,6.58,6167612269.76,-0.464893311262,-0.455855667591
149,2025-11-17 18:42:21,6.58,6372979976.36,-0.473850220442,-0.43837466836
150,2025-11-17 18:42:21,6.58,6585185968.68,-0.481985598803,-0.421269357204
151,2025-11-17 18:42:21,6.58,6804457946.35,-0.489349573851,-0.404533207417
152,2025-11-17 18:42:21,6.58,7031031190.9,-0.496071964502,-0.388183057308
153,2025-11-17 18:42:21,6.58,7265148818.2,-0.502310454845,-0.372044831514
154,2025-11-17 18:42:21,6.58,7507062039.33,-0.508026182652,-0.3562040627
155,2025-11-17 18:42:21,6.58,7757030430.16,-0.513302922249,-0.340824127197
156,2025-11-17 18:42:21,6.58,8015322209.82,-0.518083035946,-0.325589418411
