Point_Index,Sweep_Timestamp,Temperature_C,Frequency_Hz,Real_S11,Imag_S11
1,2025-12-07 17:59:37,9.97,1000000.0,1.00017166138,-0.000303149223328
2,2025-12-07 17:59:37,9.97,100995000.0,0.979734539986,-0.0251185297966
3,2025-12-07 17:59:37,9.97,200990000.0,0.972146570683,-0.0592973232269
4,2025-12-07 17:59:37,9.97,300985000.0,1.02589964867,-0.0662347078323
5,2025-12-07 17:59:37,9.97,400980000.0,1.04842078686,-0.126237601042
6,2025-12-07 17:59:37,9.97,500975000.0,1.00382196903,-0.128485545516
7,2025-12-07 17:59:37,9.97,600970000.0,0.998595178127,-0.181867867708
8,2025-12-07 17:59:37,9.97,700965000.0,1.00068879128,-0.152432054281
9,2025-12-07 17:59:37,9.97,800960000.0,1.00217413902,-0.142282366753
10,2025-12-07 17:59:37,9.97,900955000.0,0.988884091377,-0.230936616659
11,2025-12-07 17:59:37,9.97,1000950000.0,1.03229272366,-0.339763909578
12,2025-12-07 17:59:37,9.97,1100945000.0,1.15661501884,-0.280701160431
13,2025-12-07 17:59:37,9.97,1200940000.0,1.33372485638,-0.325418263674
14,2025-12-07 17:59:37,9.97,1300935000.0,1.10563969612,-0.499608546495
15,2025-12-07 17:59:37,9.97,1400930000.0,0.867221176624,-0.509312331676
16,2025-12-07 17:59:37,9.97,1500925000.0,0.820251047611,-0.45049110055
17,2025-12-07 17:59:37,9.97,1600920000.0,0.7641466856,-0.427542835474
18,2025-12-07 17:59:37,9.97,1700915000.0,1.11586081982,-0.302464216948
19,2025-12-07 17:59:37,9.97,1800910000.0,1.88621020317,-0.742950499058
20,2025-12-07 17:59:37,9.97,1900905000.0,0.976130545139,-0.344431698322
21,2025-12-07 17:59:37,9.97,2000900000.0,0.598773419857,-0.548284173012
22,2025-12-07 17:59:37,9.97,2100895000.0,0.738472402096,-0.428956031799
23,2025-12-07 17:59:37,9.97,2200890000.0,0.902447342873,-0.405309140682
24,2025-12-07 17:59:37,9.97,2300885000.0,1.09700012207,-0.402278333902
25,2025-12-07 17:59:37,9.97,2400880000.0,1.34644758701,-0.598172307014
26,2025-12-07 17:59:37,9.97,2500875000.0,0.64344227314,-0.905078887939
27,2025-12-07 17:59:37,9.97,2600870000.0,0.398886948824,-0.606335282326
28,2025-12-07 17:59:37,9.97,2700865000.0,0.441368818283,-0.641876101494
29,2025-12-07 17:59:37,9.97,2800860000.0,0.434544891119,-0.72473192215
30,2025-12-07 17:59:37,9.97,2900855000.0,0.615000963211,-0.911120891571
31,2025-12-07 17:59:37,9.97,3000850000.0,0.731056690216,-1.35305786133
32,2025-12-07 17:59:37,9.97,3100845000.0,0.107166782022,-0.859031140804
33,2025-12-07 17:59:37,9.97,3200840000.0,0.27444177866,-0.598297953606
34,2025-12-07 17:59:37,9.97,3300835000.0,0.431109577417,-0.52305829525
35,2025-12-07 17:59:37,9.97,3400830000.0,0.566704809666,-0.537705242634
36,2025-12-07 17:59:37,9.97,3500825000.0,0.710131764412,-0.585208415985
37,2025-12-07 17:59:37,9.97,3600820000.0,0.826779127121,-0.732317686081
