Point_Index,Sweep_Timestamp,Temperature_C,Frequency_Hz,Real_S11,Imag_S11
1,2025-12-08 10:43:52,22.8,1000000.0,0.9555747509,-0.169756889343
2,2025-12-08 10:43:52,22.8,100995000.0,0.840403318405,0.40369823575
3,2025-12-08 10:43:52,22.8,200990000.0,0.509527206421,0.776875138283
4,2025-12-08 10:43:52,22.8,300985000.0,-0.0166307166219,0.926557898521
5,2025-12-08 10:43:52,22.8,400980000.0,-0.578169286251,0.724302768707
6,2025-12-08 10:43:52,22.8,500975000.0,-0.900120258331,0.228176340461
7,2025-12-08 10:43:52,22.8,600970000.0,-0.86573189497,-0.320508778095
8,2025-12-08 10:43:52,22.8,700965000.0,-0.525638103485,-0.734755933285
9,2025-12-08 10:43:52,22.8,800960000.0,-0.0336633995175,-0.873269319534
10,2025-12-08 10:43:52,22.8,900955000.0,0.444001019001,-0.720384001732
11,2025-12-08 10:43:52,22.8,1000950000.0,0.759888827801,-0.340992331505
12,2025-12-08 10:43:52,22.8,1100945000.0,0.82184690237,0.135795265436
13,2025-12-08 10:43:52,22.8,1200940000.0,0.624964058399,0.565923631191
14,2025-12-08 10:43:52,22.8,1300935000.0,0.248000323772,0.812296748161
15,2025-12-08 10:43:52,22.8,1400930000.0,-0.259698301554,0.804460167885
16,2025-12-08 10:43:52,22.8,1500925000.0,-0.672701001167,0.494670391083
17,2025-12-08 10:43:52,22.8,1600920000.0,-0.824014246464,-0.0210512969643
18,2025-12-08 10:43:52,22.8,1700915000.0,-0.657534718513,-0.49609619379
19,2025-12-08 10:43:52,22.8,1800910000.0,-0.26703748107,-0.782037198544
20,2025-12-08 10:43:52,22.8,1900905000.0,0.190758883953,-0.805371582508
21,2025-12-08 10:43:52,22.8,2000900000.0,0.599587738514,-0.562122821808
22,2025-12-08 10:43:52,22.8,2100895000.0,0.800384402275,-0.136109650135
23,2025-12-08 10:43:52,22.8,2200890000.0,0.720517873764,0.342705190182
24,2025-12-08 10:43:52,22.8,2300885000.0,0.400831609964,0.683317959309
25,2025-12-08 10:43:52,22.8,2400880000.0,-0.047189809382,0.791837275028
26,2025-12-08 10:43:52,22.8,2500875000.0,-0.480328828096,0.637121140957
27,2025-12-08 10:43:52,22.8,2600870000.0,-0.757131278515,0.271238595247
28,2025-12-08 10:43:52,22.8,2700865000.0,-0.778394699097,-0.206117585301
29,2025-12-08 10:43:52,22.8,2800860000.0,-0.510954856873,-0.616830587387
30,2025-12-08 10:43:52,22.8,2900855000.0,-0.0739649608731,-0.788385033607
31,2025-12-08 10:43:52,22.8,3000850000.0,0.374378740788,-0.68191409111
32,2025-12-08 10:43:52,22.8,3100845000.0,0.657758831978,-0.372677505016
33,2025-12-08 10:43:52,22.8,3200840000.0,0.736769616604,0.0484790802002
34,2025-12-08 10:43:52,22.8,3300835000.0,0.556603014469,0.466859549284
35,2025-12-08 10:43:52,22.8,3400830000.0,0.17843285203,0.704860389233
36,2025-12-08 10:43:52,22.8,3500825000.0,-0.29285722971,0.683243393898
37,2025-12-08 10:43:52,22.8,3600820000.0,-0.655077755451,0.397964894772
38,2025-12-08 10:43:52,22.8,3700815000.0,-0.778392553329,-0.0233994275331
39,2025-12-08 10:43:52,22.8,3800810000.0,-0.647468626499,-0.426039099693
40,2025-12-08 10:43:52,22.8,3900805000.0,-0.269731372595,-0.705206334591
41,2025-12-08 10:43:52,22.8,4000800000.0,0.183686867356,-0.707348108292
42,2025-12-08 10:43:52,22.8,4100795000.0,0.526213645935,-0.479968547821
43,2025-12-08 10:43:52,22.8,4200790000.0,0.714471817017,-0.0860499665141
44,2025-12-08 10:43:52,22.8,4300785000.0,0.657709598541,0.326764881611
45,2025-12-08 10:43:52,22.8,4400780000.0,0.414432525635,0.627674460411
46,2025-12-08 10:43:52,22.8,4500775000.0,0.0204718075693,0.752966880798
47,2025-12-08 10:43:52,22.8,4600770000.0,-0.412670820951,0.621126174927
48,2025-12-08 10:43:52,22.8,4700765000.0,-0.676671028137,0.262296766043
49,2025-12-08 10:43:52,22.8,4800760000.0,-0.680736899376,-0.178379938006
50,2025-12-08 10:43:52,22.8,4900755000.0,-0.429383218288,-0.543577492237
51,2025-12-08 10:43:52,22.8,5000750000.0,-0.0140559505671,-0.705987751484
52,2025-12-08 10:43:52,22.8,5100745000.0,0.376251935959,-0.615532755852
53,2025-12-08 10:43:52,22.8,5200740000.0,0.63867354393,-0.341640204191
54,2025-12-08 10:43:52,22.8,5300735000.0,0.719060838223,0.0364382192492
55,2025-12-08 10:43:52,22.8,5400730000.0,0.579491913319,0.428557604551
56,2025-12-08 10:43:52,22.8,5500725000.0,0.229328110814,0.679893791676
57,2025-12-08 10:43:52,22.8,5600720000.0,-0.22488000989,0.677659511566
58,2025-12-08 10:43:52,22.8,5700715000.0,-0.598305523396,0.385044127703
59,2025-12-08 10:43:52,22.8,5800710000.0,-0.704442083836,-0.0418777577579
60,2025-12-08 10:43:52,22.8,5900705000.0,-0.533881545067,-0.436847537756
61,2025-12-08 10:43:52,22.8,6000700000.0,-0.182352468371,-0.653111696243
62,2025-12-08 10:43:52,22.8,6100695000.0,0.23742762208,-0.656180202961
63,2025-12-08 10:43:52,22.8,6200690000.0,0.550816237926,-0.472886949778
64,2025-12-08 10:43:52,22.8,6300685000.0,0.721090137959,-0.153569981456
65,2025-12-08 10:43:52,22.8,6400680000.0,0.701347231865,0.217968031764
